Name,Salary,Team,Subposition,Opp,Ceil,Floor,Value
"Eddie Rosario",4300,MIN,OF,DET,0,0.714,7.37
"Victor Martinez",3000,DET,1B,MIN,0,0.999,5.97
"Niko Goodrum",3800,DET,2B/OF,MIN,0,0.999,7.96
"Jim Adduci",3400,DET,1B,MIN,0,0.999,6.99
"Michael Gerber",3800,DET,OF,MIN,0,0.999,5.29
"Nick Castellanos",4300,DET,OF,MIN,0,0.808,8.33
"Victor Reyes",3100,DET,OF,MIN,0,0.999,5.67
"Jeimer Candelario",3900,DET,3B,MIN,0,0.718,7.35
"Matt Davidson",4100,CHW,1B/3B,KCR,0,0,8.2
"Rosell Herrera",2900,KCR,OF,CHW,0,0.999,7.13
"Yoan Moncada",3700,CHW,2B,KCR,0,0.999,6.11
"Brett Phillips",3900,KCR,OF,CHW,0,0.999,6.26
"Ryan O'Hearn",3700,KCR,1B,CHW,0,0.999,6.65
"Adam Engel",3000,CHW,OF,KCR,0,0,4.4
"Adalberto Mondesi",4200,KCR,2B/SS,CHW,0,0.999,5.95
"James McCann",2700,DET,C,MIN,0,0.999,4.84
"Logan Forsythe",3400,MIN,2B/3B,DET,0,0.751,8.29
"Christian Yelich",4800,MIL,OF,STL,0,0.766,8.09
"Jake Cave",3200,MIN,OF,DET,0,0.738,6.64
"Mike Moustakas",4100,MIL,3B,STL,0,0.729,8.52
"Travis Shaw",4100,MIL,2B/3B,STL,0,0.999,6.73
"Matt Carpenter",5600,STL,1B/3B,MIL,0,0.735,8.7
"Eric Thames",4300,MIL,1B/OF,STL,0,0.999,6.99
"Bobby Wilson",2700,MIN,C,DET,0,0,5.12
"Mikie Mahtook",3000,DET,OF,MIN,0,0,5
"Tyler Austin",3700,MIN,1B,DET,0,0.745,7.7
"Miguel Sano",4200,MIN,1B/3B,DET,0,0.747,7.93
"Jorge Polanco",4000,MIN,SS,DET,0,0.999,7.16
"Johnny Field",3100,MIN,OF,DET,0,0.999,6.26
"Ronny Rodriguez",2800,DET,2B/3B,MIN,0,0,5.6
"Ehire Adrianza",2800,MIN,SS,DET,0,0.999,5.42
"Omar Narvaez",3300,CHW,C,KCR,0,0.999,6.09
"Yolmer Sanchez",3600,CHW,3B,KCR,0,0.754,7.9
"Shohei Ohtani",4900,LAA,OF,TEX,0,0.724,7.33
"Ronald Guzman",4400,TEX,1B,LAA,0,0.999,7.04
"Joey Gallo",4900,TEX,1B/OF,LAA,0,0.779,9.06
"Justin Upton",5200,LAA,OF,TEX,0,0.743,9.13
"Albert Pujols",3700,LAA,1B,TEX,0,0.749,7.8
"Elvis Andrus",4300,TEX,SS,LAA,0,0.74,7.96
"Andrelton Simmons",4100,LAA,SS,TEX,0,0.999,7.15
"Jurickson Profar",4800,TEX,3B/SS,LAA,0,0.999,8.28
"Nomar Mazara",4100,TEX,OF,LAA,0,0.813,8.27
"Kurt Suzuki",3500,ATL,C,COL,0,0.77,6.9
"Dansby Swanson",3400,ATL,SS,COL,0,0.999,5.69
"Johan Camargo",3900,ATL,3B/SS,COL,0,0.999,5.78
"Kole Calhoun",4200,LAA,OF,TEX,0,0.738,8.01
"Rougned Odor",4900,TEX,2B,LAA,0,0.759,8.89
"Shin-Soo Choo",5100,TEX,OF,LAA,0,0.737,9.52
"David Fletcher",3300,LAA,2B/3B,TEX,0,0.739,8.14
"Rene Rivera",3000,LAA,C,TEX,0,0.999,7.2
"Avisail Garcia",3800,CHW,OF,KCR,0,0.999,7
"Jose Abreu",4200,CHW,1B,KCR,0,0.77,7.75
"Tim Anderson",3800,CHW,SS,KCR,0,0.999,5.68
"Alex Gordon",3200,KCR,OF,CHW,0,0.999,7.1
"Nicky Delmonico",3300,CHW,OF,KCR,0,0.743,7.77
"Lucas Duda",3800,KCR,1B,CHW,0,0.741,8.1
"Alcides Escobar",2900,KCR,SS,CHW,0,0.999,4.67
"Salvador Perez",4000,KCR,C,CHW,0,0.743,8.14
"Taylor Ward",3600,LAA,3B,TEX,0,0.999,5.64
"Eric Young",3200,LAA,OF,TEX,0,0.999,6.34
"Francisco Arcia",3700,LAA,C,TEX,0,0,4.81
"Carlos Tocci",3200,TEX,OF,LAA,0,0,6.11
"Whit Merrifield",4000,KCR,2B/OF,CHW,0,0.761,8.32
"Isiah Kiner-Falefa",4100,TEX,2B/3B,LAA,0,0.734,6.63
"Kolten Wong",3900,STL,2B,MIL,0,0.999,5.43
"Lorenzo Cain",4200,MIL,OF,STL,0,0.737,8.05
"Robinson Cano",4000,SEA,2B,LAD,0,0.999,7.35
"Cody Bellinger",4500,LAD,1B/OF,SEA,0,0.999,6.37
"Austin Barnes",2900,LAD,C,SEA,0,0.999,4.93
"Denard Span",4400,SEA,OF,LAD,0,0.999,7.19
"Kyle Seager",3700,SEA,3B,LAD,0,0.999,6.23
"Andrew Romine",2500,SEA,2B/SS,LAD,0,0,4.92
"Dee Gordon",3500,SEA,2B/OF,LAD,0,0.999,5.49
"Cameron Maybin",3000,SEA,OF,LAD,0,0.999,5.95
"Mike Zunino",3400,SEA,C,LAD,0,0.999,6.2
"Chris Taylor",3900,LAD,OF/SS,SEA,0,0.762,7.65
"Matt Kemp",3600,LAD,OF,SEA,0,0.768,7.63
"Enrique Hernandez",3900,LAD,OF/SS,SEA,0,0.999,6.62
"Yasiel Puig",3800,LAD,OF,SEA,0,0.999,6.27
"Nelson Cruz",4300,SEA,OF,LAD,0,0.999,7.26
"Mitch Haniger",4300,SEA,OF,LAD,0,0.999,7.34
"David Peralta",4800,ARI,OF,SDP,0,0.721,6.52
"Paul Goldschmidt",5100,ARI,1B,SDP,0,0.761,9.46
"Hunter Renfroe",4600,SDP,OF,ARI,0,0.999,6.84
"Manuel Margot",3700,SDP,OF,ARI,0,0.999,6.91
"Christian Villanueva",4100,SDP,3B,ARI,0,0.758,7.56
"Austin Hedges",3600,SDP,C,ARI,0,0.999,5.85
"Jose Pirela",3300,SDP,2B/OF,ARI,0,0.999,4.58
"Franmil Reyes",3300,SDP,OF,ARI,0,0.999,5.51
"John Ryan Murphy",2800,ARI,C,SDP,0,0.999,5.41
"Ketel Marte",3800,ARI,2B/SS,SDP,0,0.999,5.31
"Steven Souza",4000,ARI,OF,SDP,0,0.999,6.13
"A.J. Pollock",4600,ARI,OF,SDP,0,0.793,8.55
"Nick Ahmed",4300,ARI,SS,SDP,0,0.999,5.91
"Wil Myers",4200,SDP,OF,ARI,0,0.771,8.12
"Eduardo Escobar",4300,ARI,3B/SS,SDP,0,0.749,7.6
"Freddy Galvis",3900,SDP,SS,ARI,0,0.999,4.79
"Manny Machado",4600,LAD,SS,SEA,0,0.758,9.53
"Justin Turner",4400,LAD,3B,SEA,0,0.755,7.55
"Jesus Aguilar",4600,MIL,1B,STL,0,0.999,5.88
"Harrison Bader",4000,STL,OF,MIL,0,0.999,5.76
"George Springer",4800,HOU,OF,OAK,0,0.762,9.34
"Alex Bregman",4200,HOU,3B/SS,OAK,0,0.691,9.15
"Evan Gattis",3800,HOU,C,OAK,0,0.771,8.64
"Carlos Correa",4300,HOU,SS,OAK,0,0.77,10.33
"Jedd Gyorko",3700,STL,2B/3B,MIL,0,0.999,4.68
"Paul DeJong",4400,STL,SS,MIL,0,0.999,7.39
"Manny Pina",3000,MIL,C,STL,0,0.999,4.8
"Ryan Braun",4100,MIL,1B/OF,STL,0,0.999,7.3
"Orlando Arcia",2800,MIL,SS,STL,0,0.999,4.38
"Yadier Molina",4400,STL,C,MIL,0,0.999,6.46
"Marcell Ozuna",3900,STL,OF,MIL,0,0.999,7.44
"Jose Martinez",4100,STL,1B,MIL,0,0.999,7.19
"Yulieski Gurriel",4100,HOU,1B,OAK,0,0.999,6.88
"Martin Maldonado",2700,HOU,C,OAK,0,0.999,5.01
"Matt Olson",3700,OAK,1B,HOU,0,0.999,6.88
"Jed Lowrie",4000,OAK,2B,HOU,0,0.999,5.85
"Kyle Tucker",3500,HOU,OF,OAK,0,0.999,5.28
"Nick Martini",3400,OAK,OF,HOU,0,0.731,6.74
"Brian Dozier",4200,LAD,2B,SEA,0,0.787,8.73
"Tony Kemp",3600,HOU,OF,OAK,0,0.999,5.4
"Marwin Gonzalez",3500,HOU,OF/SS,OAK,0,0.999,6.6
"Josh Reddick",3800,HOU,OF,OAK,0,0.999,7.63
"Khris Davis",4700,OAK,OF,HOU,0,0.771,7.2
"Matt Chapman",4300,OAK,3B,HOU,0,0.742,7.46
"Stephen Piscotty",3100,OAK,OF,HOU,0,0.999,6.51
"Marcus Semien",4000,OAK,SS,HOU,0,0.999,5.6
"Jonathan Lucroy",2800,OAK,C,HOU,0,0.999,4.38
"Mark Canha",3200,OAK,OF,HOU,0,0.999,4.77
"Tyler Flowers",3300,ATL,C,COL,0,0.716,6.72
"Ozzie Albies",4300,ATL,2B,COL,0,0.75,9.41
"Juan Soto",4900,WAS,OF,MIA,0,0.754,7.5
"Bryce Harper",5400,WAS,OF,MIA,0,0.731,9.79
"Adam Eaton",4200,WAS,OF,MIA,0,0.75,8.54
"Daniel Murphy",4300,WAS,1B/2B,MIA,0,0.802,6.9
"Matt Wieters",3300,WAS,C,MIA,0,0.999,5.7
"Magneuris Sierra",2800,MIA,OF,WAS,0,0.999,5.65
"Rafael Ortega",2900,MIA,OF,WAS,0,0.999,6.85
"J.T. Riddle",2700,MIA,SS,WAS,0,0.999,5.3
"Derek Dietrich",3200,MIA,OF,WAS,0,0.999,6.35
"Brian Anderson",3100,MIA,3B/OF,WAS,0,0.999,5.84
"J.T. Realmuto",3900,MIA,C,WAS,0,0.999,6.01
"Starlin Castro",3200,MIA,2B,WAS,0,0.999,5.36
"Trea Turner",4800,WAS,SS,MIA,0,0.724,9.51
"Ryan Zimmerman",4500,WAS,1B,MIA,0,0.766,8.33
"Anthony Rendon",4300,WAS,3B,MIA,0,0.764,8.56
"Austin Dean",2900,MIA,OF,WAS,0,0,5.4
"Javier Baez",5000,CHC,2B/SS,PIT,0,0.759,7.92
"Anthony Rizzo",4800,CHC,1B,PIT,0,0.685,8.34
"Ben Zobrist",4800,CHC,2B/OF,PIT,0,0.751,7.84
"Kyle Schwarber",4000,CHC,OF,PIT,0,0.759,7.86
"Corey Dickerson",3900,PIT,OF,CHC,0,0.999,5.32
"Victor Caratini",3100,CHC,1B/C,PIT,0,0,5.6
"Gregory Polanco",4100,PIT,OF,CHC,0,0.999,6.74
"Jason Heyward",4100,CHC,OF,PIT,0,0.999,7.2
"Adeiny Hechavarria",3400,PIT,SS,CHC,0,0.999,5.29
"Starling Marte",4300,PIT,OF,CHC,0,0.683,8.5
"Addison Russell",3400,CHC,SS,PIT,0,0.999,5.18
